NaN,NaN,288.2029801,299.9660857,304.8013701,283.8292335,288.6861254,283.7830403,305,295.496734,301.9472979,300.9377343,305,294.1674213,294.2280076,294.2280076,294.495859,289.7662796,297.5570204,300.0181112,298.9885458,286.3568479,298.9884705,282.8858546,281.9749392,305,293.2008222,305,305,282.9178808,282.4746093,301.9451268,305,301.9226624,291.8851675,299.9172506,303.8956831,282.4763979,284.2426893,305,296.4910732,305,289.2823143,298.5857994,304.8718031,287.3778515,284.2727237,298.4488515,298.044544,301.9686867,299.0196238,280.5004634,296.1646337,303.8956831,305,303.8187146,297.0740417,296.1174795,293.2008222,NaN,NaN
NaN,NaN,304.3843566,300.4126739,302.3647077,287.3133469,286.0210785,286.4326656,296.1646337,294.6549198,298.9884705,276.3268491,305,291.6022946,302.854218,300.9933772,289.2707784,305,296.6050208,302.8871838,300.8482328,302.9338903,282.8637422,293.6799335,299.5071801,305,303.8341005,305,282.3976523,288.3795305,257.1126285,294.3763745,283.2487183,302.4605005,288.2651235,304.8828424,305,305,304.8948772,295.5777025,287.6326009,304.7668573,303.9194366,298.0139079,305,305,291.8851675,298.0673562,300.9933772,301.9761516,298.9992279,303.2993798,305,305,305,282.0037914,296.0990497,299.9947475,296.1646337,NaN,NaN
NaN,NaN,295.6122868,298.5097684,300.3879356,284.6910196,285.137111,284.6589799,303.4317327,293.1417827,288.7834489,296.9640221,292.1674943,290.2678155,301.8554311,298.0324361,300.9933772,304.8186115,297.4301117,304.3177666,282.0019003,305,293.1760489,300.8537271,297.1330488,296.1174795,305,305,301.4809068,302.8603548,291.8735856,305,281.1924915,293.6432343,305,283.8044559,305,303.3506098,303.8332577,301.385706,296.9805085,296.9410521,300.8770938,302.4327493,286.8565853,304.3013966,288.6815896,298.9441397,298.4488515,296.1174795,289.2823143,296.9805085,296.9640221,303.3741253,301.8752037,288.2029801,291.7471822,299.9172506,300.9114345,NaN,NaN
NaN,NaN,300.4126739,284.731789,305,284.7164871,286.4679914,284.6934842,303.4080274,299.5543854,283.3233912,291.8076054,304.8123227,293.5545918,290.7552292,283.3094113,291.0952385,305,305,302.8871838,296.5820347,304.8118868,305,284.6216311,303.913876,284.2155474,294.1488483,304.3875303,305,288.144683,302.4563578,298.2696017,285.5377555,304.3833499,305,305,305,296.0990497,295.6299489,297.4531319,303.913876,302.3210974,299.9660857,305,305,305,288.6860133,300.0181112,295.6299489,297.0657101,301.4575154,296.1174795,284.2234212,299.0428886,299.9663321,305,299.9978582,294.5280588,289.2823143,NaN,NaN
291.8851675,291.8851675,281.9993554,305,302.9338903,299.0428886,300.4823258,305,281.1292898,305,282.0019003,304.8186115,290.1289762,283.8044559,305,295.0283185,296.1174795,304.8931441,282.9211984,305,296.0945154,294.6544622,296.5823717,300.4823258,288.6609466,296.0649206,301.9226624,303.8395226,303.4395041,296.5820062,295.615744,305,305,301.4917639,305,305,296.0649206,295.5777025,301.9451268,297.1330488,302.8337963,305,288.7242672,283.7320196,295.5777025,297.5801356,300.8962146,305,305,305,286.9346211,289.5359913,288.6668112,300.0181112,300.9114345,296.6050208,305,303.8341799,292.7162519,289.1264601,291.7915129
291.3100957,290.4479511,282.0019003,301.4810265,286.4260222,298.0139079,300.8770938,290.2935421,261.7895573,298.2569615,291.7982782,296.5820062,283.5941577,283.9101664,305,303.8969218,294.2280076,284.5874261,305,305,283.3633613,290.3004539,282.4746093,290.623485,289.7581184,292.2916522,305,297.5617423,303.8187146,300.8962146,305,299.386421,285.5809507,305,305,299.3945928,300.5230402,300.3879356,295.0904957,295.6122868,301.4917639,283.8404964,305,305,285.8694203,301.9451268,305,305,299.4757691,291.7982782,288.2071621,289.848417,289.5286531,303.913876,302.3210974,304.3013966,290.7328305,301.0073934,305,289.5861091,289.9792153
290.8985086,288.609355,305,305,304.329038,300.5230402,301.4164963,300.8482328,270.7642044,302.4605005,289.5720424,303.8819164,282.894219,291.7498843,305,305,289.126813,291.8851675,291.8851675,286.4490962,305,279.2282166,304.3493934,295.6804517,290.8395623,302.9440398,299.510527,285.0970032,282.0019003,294.6321081,300.9377343,305,305,286.8856712,285.5777355,304.3243285,286.4555607,284.2477596,294.6033004,290.2533855,302.810235,286.0238293,291.8851675,289.5732685,300.9746363,299.9172506,294.1161165,282.0019003,305,305,285.5641803,291.8851675,289.5861091,305,302.3708062,296.0945154,305,302.810235,303.8332577,290.9075455,291.8851675
291.8851675,289.5682498,302.3835197,297.4756609,297.5266438,297.5490649,305,301.3538467,271.2698183,304.8931441,285.0970032,294.6491815,305,301.4575154,287.7911604,287.4020264,298.4488515,302.491478,287.3862621,274.9355192,281.8152705,288.0881516,290.7359544,288.4197472,280.4972724,300.4823258,290.7359544,283.0976136,284.4196679,287.6722319,305,299.386421,305,301.4170484,300.4823258,305,281.9993554,283.3808474,305,291.2202026,303.4080274,282.3690242,305,291.8851675,305,285.5651902,286.4322867,305,281.0028863,282.4565263,281.4452985,284.6938838,272.2178444,292.6823833,301.366259,305,289.2823143,298.9205026,294.1488483,291.8851675,287.3453202
288.2301756,284.7023383,299.4826485,298.5320784,297.5266438,305,296.0945154,284.7162826,286.3750343,305,286.0103726,296.1081023,305,301.8752037,296.0945154,291.8851675,301.3538467,283.3331755,284.9069563,302.8603548,283.3291204,287.7988002,302.4327493,301.8999997,297.0695078,294.6321081,290.2303404,302.3708062,290.6062174,294.6544622,305,291.2415682,287.313181,298.0041544,286.4260222,286.4555607,300.4058206,283.3393664,284.2426893,298.0041544,297.4985405,289.6059949,296.5820062,292.2335063,305,289.85113,289.1524369,303.8341799,302.8337963,294.5280588,303.3745753,297.5617423,304.3843566,282.9479566,297.0695078,301.4917639,293.6572241,289.3342473,305,289.5861091,291.8851675
290.4228421,287.3133469,303.8394707,297.4301117,296.5505144,305,300.8962146,282.8858546,303.3763024,301.366259,300.8537271,298.0139079,305,301.8554311,288.3342882,296.0990497,293.6432343,299.386421,277.0843784,305,305,288.7921013,303.8187146,303.4395041,305,303.8187146,296.0016442,294.0295077,292.1674943,305,300.9377343,304.3177666,295.6123816,293.5176416,289.2823143,282.0593565,288.7767004,295.615744,300.4058206,305,303.945118,302.9203828,281.2947985,298.0134705,281.9993554,305,305,297.4301117,289.7319709,289.8715862,300.0266102,297.0925728,295.1195663,296.0072372,283.8068584,294.0439899,298.130558,305,293.1762544,290.4228421,291.8851675
